make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,equipment_count,is_well_equipped,equipment_tier
Renault,Kadjar,2021,SUV,103000,5.0,5.0,Negru,Benzina,1332,140,Automata,Fata,Euro 6d-Temp,16490.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,13,1,premium
Seat,Leon,2015,Combi,171000,5.0,5.0,Negru,Diesel,1598,105,Automata,Fata,Euro 5,8350.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,standard
Opel,Grandland X,2020,SUV,175245,5.0,5.0,Negru,Benzina,1199,130,Automata,Fata,Euro 6,12799.38,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,13,1,premium
BMW,Seria 3,2024,Sedan,64800,4.0,5.0,Negru,Benzina,1998,156,Automata,Fata,Euro 6,28950.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,16,1,ultra
Renault,Megane,2017,Combi,225216,5.0,5.0,Alb,Diesel,1461,110,Manuala,Fata,Euro 6,6750.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,1,standard
Mitsubishi,Outlander,2019,SUV,140000,5.0,5.0,Alb,Hibrid Plug-In,2360,136,Automata,4x4 (automat),Euro 6,17990.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,12,1,premium
Audi,A6 Allroad,2017,Combi,160300,5.0,5.0,Rosu,Diesel,2967,218,Automata,4x4 (automat),Euro 6,20998.34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,9,1,standard
Volvo,V60,2013,Combi,268102,5.0,5.0,Argint,Diesel,1984,163,Automata,Fata,Euro 5,6998.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,standard
BMW,Seria 5,2011,Combi,194000,5.0,5.0,Argint,Diesel,1995,184,Automata,Spate,Euro 5,10800.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,11,1,premium
Mercedes-Benz,S,2023,Sedan,65471,4.0,5.0,Negru,Diesel,2925,286,Automata,4x4 (automat),Euro 6,98900.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,premium
Skoda,Octavia,2023,Compacta,81000,5.0,5.0,Portocaliu,Benzina,1498,149,Automata,Fata,Euro 6,20990.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,1,premium
Seat,Arona,2022,SUV,40377,5.0,5.0,Gri,Benzina,999,110,Automata,Fata,Euro 6,15500.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,standard
Volkswagen,Transporter,2016,Monovolum,400000,4.0,9.0,Gri,Diesel,1968,150,Manuala,4x4 (manual),Euro 6,15717.9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,standard
Ford,Fiesta,2009,Masina de oras,242500,5.0,5.0,Gri,Diesel,1399,68,Manuala,Fata,Euro 4,3300.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,basic
BMW,Seria 5,2025,Sedan,5600,4.0,5.0,Gri,Hibrid Plug-In,1998,299,Automata,Spate,Euro 6d,64990.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,19,1,ultra
Nissan,Qashqai,2021,SUV,96695,5.0,5.0,Gri,Benzina,1332,157,Automata,Fata,Euro 6,20990.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,9,1,standard
Toyota,Corolla,2021,Compacta,133503,5.0,5.0,Gri,Hibrid,1798,122,Automata,Fata,Euro 6c,15500.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,13,1,premium
BMW,X3,2020,SUV,200000,5.0,5.0,Albastru,Hibrid Plug-In,1998,292,Automata,4x4 (automat),Euro 6d-Temp,25500.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,18,1,ultra
Volkswagen,Taigo,2025,SUV,9000,5.0,5.0,Rosu,Benzina,999,115,Automata,Fata,Euro 6,23100.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,1,premium
Volkswagen,Passat,2014,Combi,211000,5.0,5.0,Argint,Diesel,1968,177,Automata,4x4 (automat),Euro 5,10500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,11,1,premium
Audi,A6,2019,Combi,207400,4.0,5.0,Alb,Diesel,2967,286,Automata,4x4 (automat),Euro 6,27400.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,19,1,ultra
Opel,Insignia,2015,Combi,296000,5.0,5.0,Gri,Diesel,1956,120,Manuala,Fata,Euro 5,5600.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,basic
Nissan,Qashqai,2019,Compacta,131000,5.0,5.0,Albastru,Benzina,1332,157,Manuala,Fata,Euro 6,15300.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,14,1,premium
Volkswagen,Golf,2011,Combi,213500,5.0,5.0,Gri,Benzina,1390,160,Manuala,Fata,Euro 5,4950.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,standard
Peugeot,508,2017,Combi,263000,5.0,5.0,Negru,Diesel,1997,180,Automata,Fata,Euro 6,8999.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,16,1,ultra
Opel,Astra,2016,Compacta,96552,5.0,5.0,Maro,Benzina,1399,125,Manuala,Fata,Euro 6,8950.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,basic
Peugeot,308,2023,Compacta,186000,5.0,5.0,Negru,Benzina,1199,130,Automata,Fata,Euro 6,14700.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,12,1,premium
BMW,Seria 1,2014,Compacta,226527,5.0,5.0,Negru,Benzina,1598,102,Manuala,Spate,Euro 6,5600.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,basic
Renault,Koleos,2022,SUV,38957,5.0,5.0,Gri,Diesel,1995,190,Automata,4x4 (manual),Euro 6,31990.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,15,1,ultra
Volkswagen,Golf,2013,Combi,238000,5.0,5.0,Negru,Diesel,1968,140,Manuala,Fata,Euro 5,6990.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,1,standard
Skoda,Karoq,2019,SUV,175000,5.0,5.0,Negru,Diesel,1598,115,Automata,Fata,Euro 6,17300.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,1,premium
Audi,A3,2013,Compacta,214000,5.0,5.0,Maro,Diesel,1968,184,Automata,4x4 (automat),Euro 6,10290.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,9,1,standard
BMW,Seria 5,2019,Sedan,175700,4.0,5.0,Alb,Hibrid Plug-In,1998,292,Automata,Spate,Euro 6b,26990.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,standard
Ford,Focus,2019,Combi,240000,5.0,5.0,Gri,Diesel,1995,150,Manuala,Fata,Euro 6,8850.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,15,1,ultra
Skoda,Fabia,2022,Masina de oras,51671,5.0,5.0,Alb,Benzina,999,95,Manuala,Fata,Euro 6,12990.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,11,1,premium
Skoda,Octavia,2022,Combi,202650,5.0,5.0,Gri,Diesel,1968,149,Automata,Fata,Euro 6d-Temp,15690.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,15,1,ultra
Dacia,Duster,2025,SUV,54704,5.0,5.0,Alb,Benzina + GPL,999,100,Manuala,Fata,Euro 6,19990.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,11,1,premium
Renault,Talisman,2017,Combi,217000,5.0,5.0,Negru,Diesel,1461,110,Manuala,Fata,Euro 6,9000.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,premium
Ford,Focus,2021,Compacta,39002,5.0,5.0,Albastru,Diesel,1499,120,Manuala,Fata,Euro 6d-Temp,15730.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,13,1,premium
Hyundai,Elantra,2023,Sedan,6500,4.0,5.0,Gri,Benzina,1598,123,Manuala,Fata,Euro 6,20800.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,10,1,premium
Toyota,Prius,2016,Compacta,189000,4.0,5.0,Alb,Hibrid,1798,122,Automata,Fata,Euro 6,14900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,basic
Audi,A6,2019,Combi,149000,5.0,5.0,Albastru,Diesel,1968,163,Automata,Fata,Euro 6,23970.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,16,1,ultra
