make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,url
Audi,A6,2014,Combi,298 000 km,5,5,Argint,Diesel,2 967 cm3,313 CP,Automata,4x4 (automat),Euro 5,13 500,https://www.autovit.ro/autoturisme/anunt/audi-a6-ID7HITdA.html
Renault,Megane,2019,Combi,160 000 km,5,5,Alb,Diesel,1 461 cm3,116 CP,Automata,Fata,Euro 6,"10 298,31",https://www.autovit.ro/autoturisme/anunt/renault-megane-ver-blue-dci-edc-limited-ID7HJ6kg.html
Renault,Austral,2024,SUV,7 931 km,5,5,Negru,Benzina,1 332 cm3,160 CP,Automata,Fata,Euro 6,26 700,https://www.autovit.ro/autoturisme/anunt/renault-austral-ID7HGwyO.html
Renault,Austral,2024,SUV,15 334 km,5,5,Negru,Benzina,1 332 cm3,160 CP,Automata,Fata,Euro 6,26 300,https://www.autovit.ro/autoturisme/anunt/renault-austral-ID7HGvfw.html
Mercedes-Benz,E,2024,Sedan,10 006 km,4,5,Argint,Benzina,1 999 cm3,204 CP,Automata,Spate,Euro 6d,"64 899,56",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-e-ver-200-9g-tronic-edition-amg-line-ID7HGJPV.html
Audi,Q7,2016,SUV,108 200 km,5,5,Negru,Diesel,2 967 cm3,272 CP,Automata,4x4 (automat),Euro 6,28 990,https://www.autovit.ro/autoturisme/anunt/audi-q7-ver-3-0-tdi-quattro-tiptronic-ID7HyRRB.html
BMW,Seria 5,2021,Sedan,120 015 km,5,5,Negru,Diesel,1 995 cm3,190 CP,Automata,4x4 (automat),Euro 6,"35 077,90",https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-520d-xdrive-at-mhev-ID7HABfZ.html
Skoda,Octavia,2011,Sedan,530 575 km,5,5,Alb,Diesel,1 598 cm3,105 CP,Manuala,Fata,Euro 5,2 200,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ver-1-6-tdi-classic-ID7HITcM.html
Mercedes-Benz,GLE Coupe,2017,SUV,113 600 km,5,5,Alb,Diesel,2 987 cm3,258 CP,Automata,4x4 (automat),Euro 6,"43 547,90",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-coupe-ver-350-d-4matic-ID7HHE7j.html
Mercedes-Benz,G,2019,SUV,112 000 km,5,5,Alb,Diesel,2 925 cm3,285 CP,Automata,4x4 (automat),Euro 6,99 000,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-g-ID7HJ58J.html
Mercedes-Benz,GLE Coupe,2020,SUV,129 550 km,5,5,Negru,Diesel,2 925 cm3,330 CP,Automata,4x4 (automat),Euro 6,"72 587,90",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gle-coupe-ver-400-d-4matic-ID7HHWQe.html
