make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price
Mercedes-Benz,G,2019.0,SUV,112000.0,5.0,5.0,Alb,Diesel,2925.0,285.0,Automata,4x4 (automat),Euro 6,99000.0
Mercedes-Benz,GLE Coupe,2020.0,SUV,129550.0,5.0,5.0,Negru,Diesel,2925.0,330.0,Automata,4x4 (automat),Euro 6,72587.9
Mercedes-Benz,CLA,2019.0,Sedan,171800.0,4.0,5.0,Negru,Benzina,1991.0,190.0,Automata,4x4 (automat),Euro 6,26600.0
Volvo,XC 60,2019.0,SUV,92700.0,5.0,5.0,Negru,Hibrid Plug-In,1969.0,390.0,Automata,4x4 (automat),Euro 6b,28497.92
Volkswagen,Passat CC,2013.0,Sedan,198000.0,4.0,5.0,Maro,Diesel,1968.0,143.0,Automata,Fata,Euro 5,10450.0
Volvo,V60,2019.0,Combi,179000.0,5.0,5.0,Gri,Diesel,1969.0,150.0,Automata,Fata,Euro 6,17590.0
BMW,X3,2012.0,SUV,220354.0,5.0,5.0,Negru,Diesel,1995.0,184.0,Automata,4x4 (automat),Euro 5,12990.0
Mercedes-Benz,GLE,2016.0,SUV,147000.0,5.0,5.0,Alb,Benzina,2996.0,367.0,Automata,4x4 (automat),Euro 6,39500.0
Volkswagen,Passat Alltrack,2018.0,Combi,153757.0,5.0,5.0,Alb,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,19500.0
Cupra,Formentor,2025.0,SUV,2900.0,5.0,5.0,Verde,Benzina,1984.0,333.0,Automata,4x4 (automat),Euro 6,54950.0
Volkswagen,Tiguan,2023.0,SUV,130254.0,5.0,5.0,Rosu,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,25900.0
Volkswagen,Polo,2020.0,Compacta,100000.0,5.0,5.0,Alb,Benzina,999.0,80.0,Manuala,Fata,Euro 6,10490.0
Dacia,Duster,2020.0,SUV,27663.0,5.0,5.0,Alb,Diesel,1461.0,115.0,Manuala,4x4 (automat),Euro 6,15750.0
BMW,X3,2020.0,SUV,98299.0,5.0,5.0,Gri,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,31989.99
Mercedes-Benz,CLE,2024.0,Coupe,5106.0,2.0,4.0,Albastru,Benzina,2999.0,449.0,Automata,4x4 (automat),Euro 6,92898.96
Renault,Trafic,2015.0,Monovolum,217000.0,4.0,8.0,Verde,Diesel,1598.0,145.0,Manuala,Fata,Euro 6,12000.0
Mercedes-Benz,GLE Coupe,2020.0,SUV,135620.0,5.0,5.0,Gri,Hibrid Plug-In,1950.0,319.0,Automata,4x4 (manual),Euro 6,56900.0
Nissan,X-Trail,2014.0,SUV,153000.0,5.0,5.0,Alb,Diesel,1598.0,130.0,Manuala,4x4 (manual),Euro 5,11650.0
Mercedes-Benz,E,2019.0,Sedan,105534.0,4.0,5.0,Negru,Hibrid Plug-In,1991.0,320.0,Automata,Spate,Euro 6d-Temp,31987.56
BMW,X1,2012.0,SUV,149598.0,5.0,5.0,Negru,Diesel,1995.0,184.0,Automata,4x4 (manual),Euro 5,12990.0
Skoda,Octavia,2019.0,Combi,173800.0,5.0,5.0,Argint,Benzina,1495.0,150.0,Automata,Fata,Euro 6,12990.0
Volkswagen,Golf,2020.0,Combi,206835.0,5.0,5.0,Albastru,Benzina,1498.0,150.0,Automata,Fata,Euro 6,13689.99
Mercedes-Benz,GLC Coupe,2024.0,SUV,15500.0,5.0,5.0,Alb,Diesel,1993.0,197.0,Automata,4x4 (automat),Euro 6d,60487.9
BMW,X5,2023.0,SUV,42575.0,5.0,5.0,Gri,Benzina,2998.0,381.0,Automata,4x4 (automat),Euro 6,79999.15
Hyundai,Tucson,2018.0,SUV,150000.0,5.0,5.0,Negru,Diesel,1685.0,141.0,Automata,Fata,Euro 6,14650.0
Renault,Megane,2016.0,Combi,192000.0,5.0,5.0,Gri,Diesel,1461.0,110.0,Manuala,Fata,Euro 6d-Temp,6790.0
Mercedes-Benz,CLA,2021.0,Coupe,56500.0,4.0,5.0,Negru,Hibrid Plug-In,1332.0,218.0,Automata,Fata,Euro 6,33498.85
Toyota,C-HR,2017.0,SUV,189000.0,5.0,5.0,Alb,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,16999.0
Nissan,Qashqai,2016.0,SUV,179000.0,5.0,5.0,Gri,Diesel,1598.0,130.0,Manuala,4x4 (manual),Euro 6,9999.0
Renault,Talisman,2020.0,Compacta,129709.0,5.0,5.0,Rosu,Diesel,1997.0,160.0,Automata,Fata,Euro 6d-Temp,14950.0
Toyota,Corolla,2020.0,Combi,132800.0,5.0,5.0,Albastru,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,17999.96
Volkswagen,Golf,2010.0,Compacta,198000.0,3.0,5.0,Albastru,Benzina,1390.0,80.0,Manuala,Fata,Euro 5,2950.0
Opel,Mokka,2014.0,SUV,203114.0,5.0,5.0,Rosu,Diesel,1686.0,130.0,Manuala,4x4 (automat),Euro 5,7100.0
Renault,Talisman,2017.0,Combi,96492.0,5.0,5.0,Alte culori,Diesel,1598.0,160.0,Automata,Fata,Euro 6,14990.0
BMW,X5,2022.0,SUV,139944.0,5.0,5.0,Negru,Hibrid Plug-In,2998.0,398.0,Automata,4x4 (automat),Euro 6,51299.99
Volkswagen,Touareg,2021.0,SUV,153900.0,5.0,5.0,Gri,Hibrid Plug-In,2995.0,381.0,Automata,4x4 (automat),Euro 6,42400.0
Mazda,CX-3,2018.0,SUV,179000.0,5.0,5.0,Alb,Benzina,1998.0,150.0,Automata,4x4 (automat),Euro 6,13989.0
Volvo,XC 60,2015.0,SUV,237000.0,5.0,5.0,Alb,Diesel,1969.0,190.0,Manuala,Fata,Euro 6,13590.0
Skoda,Scala,2020.0,Combi,165000.0,5.0,5.0,Albastru,Diesel,1598.0,115.0,Automata,Fata,Euro 6,11990.0
Kia,Sportage,2021.0,SUV,62800.0,5.0,5.0,Albastru,Diesel,1598.0,136.0,Automata,4x4 (automat),Euro 6c,19490.0
Ford,Kuga,2020.0,SUV,131000.0,5.0,5.0,Negru,Diesel,1996.0,190.0,Automata,4x4 (automat),Euro 6,18000.0
Audi,A6,2019.0,Sedan,140000.0,5.0,5.0,Gri,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6,46000.0
BMW,Seria 4,2023.0,Coupe,31500.0,5.0,5.0,Albastru,Diesel,1995.0,190.0,Automata,Spate,Euro 6d-Temp,45980.0
Volkswagen,T-Cross,2021.0,SUV,68908.0,5.0,5.0,Gri,Benzina,999.0,110.0,Automata,Fata,Euro 6,19500.01
Mitsubishi,Eclipse-Cross,2022.0,SUV,92100.0,5.0,5.0,Alb,Hibrid Plug-In,2360.0,98.0,Automata,4x4 (automat),Euro 6,22900.0
Mitsubishi,Eclipse-Cross,2023.0,SUV,33100.0,5.0,5.0,Gri,Hibrid Plug-In,2360.0,98.0,Automata,4x4 (automat),Euro 6,25900.0
Lexus,Seria NX,2021.0,SUV,55938.0,5.0,5.0,Alb,Hibrid,2494.0,197.0,Automata,4x4 (automat),Euro 6,31989.98
Ford,Focus,2018.0,Combi,197000.0,5.0,5.0,Rosu,Diesel,1499.0,120.0,Automata,Fata,Euro 6,9249.24
Mercedes-Benz,A,2019.0,Sedan,156000.0,5.0,5.0,Negru,Diesel,1461.0,116.0,Automata,Fata,Euro 6,24998.6
BMW,Seria 1,2010.0,Coupe,198000.0,2.0,4.0,Negru,Diesel,1995.0,143.0,Manuala,Spate,Euro 5,4900.0
Renault,Arkana,2023.0,SUV,10728.0,5.0,5.0,Gri,Hibrid,1598.0,145.0,Automata,Fata,Euro 6,25773.0
Renault,Arkana,2023.0,SUV,24509.0,5.0,5.0,Rosu,Benzina,1333.0,158.0,Automata,Fata,Euro 6,24200.0
Audi,Q7,2018.0,SUV,149900.0,5.0,5.0,Maro,Diesel,2967.0,272.0,Automata,4x4 (automat),Euro 6b,25980.0
BMW,X1,2014.0,SUV,194000.0,5.0,5.0,Gri,Diesel,1995.0,184.0,Automata,4x4 (automat),Euro 5,9990.0
Hyundai,i40,2015.0,Combi,211000.0,5.0,5.0,Alb,Diesel,1685.0,141.0,Automata,Fata,Euro 6,8999.0
Rolls-Royce,Cullinan,2020.0,SUV,33000.0,4.0,4.0,Gri,Benzina,6749.0,571.0,Automata,4x4 (automat),Euro 6c,315000.0
Hyundai,KONA,2021.0,SUV,22341.0,5.0,5.0,Verde,Benzina,998.0,120.0,Manuala,Fata,Euro 6d,14200.0
Toyota,C-HR,2024.0,SUV,18900.0,5.0,5.0,Alb,Hibrid,1987.0,152.0,Automata,4x4 (automat),Euro 6d-Temp,37249.85
Mercedes-Benz,S,2022.0,Sedan,115467.0,4.0,5.0,Albastru,Hibrid Plug-In,2999.0,510.0,Automata,4x4 (automat),Euro 6,81990.0
Skoda,Kodiaq,2017.0,SUV,198074.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,19990.0
Audi,A4,2020.0,Combi,143096.0,5.0,5.0,Albastru,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,26990.01
Mercedes-Benz,A,2019.0,Masina de oras,113696.0,5.0,5.0,Gri,Benzina,1332.0,136.0,Automata,Fata,Euro 6d,20812.0
Renault,Trafic,2016.0,Monovolum,259000.0,4.0,9.0,Argint,Diesel,1598.0,125.0,Manuala,Fata,Euro 6,14590.0
BMW,Seria 5,2021.0,Sedan,116930.0,4.0,5.0,Alb,Benzina,1998.0,252.0,Automata,Spate,Euro 6,34998.04
Audi,A6,2020.0,Sedan,182717.0,4.0,5.0,Galben/Auriu,Diesel,1968.0,204.0,Automata,Fata,Euro 6,29990.0
Audi,A5,2016.0,Sedan,219000.0,5.0,5.0,Negru,Diesel,1968.0,190.0,Manuala,Fata,Euro 6,14990.0
Mercedes-Benz,C,2011.0,Sedan,148113.0,4.0,5.0,Alb,Benzina,1796.0,156.0,Automata,Spate,Euro 5,9950.0
Audi,Q7,2018.0,SUV,250000.0,5.0,7.0,Alb,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6,32850.0
Honda,Civic,2020.0,Sedan,53000.0,5.0,5.0,Albastru,Benzina,1498.0,182.0,Automata,Fata,Euro 6,19800.0
Renault,Megane,2016.0,Sedan,81489.0,4.0,5.0,Gri,Benzina,1598.0,115.0,Manuala,Fata,Euro 6,9000.0
Hyundai,Grand Santa Fe,2015.0,SUV,255000.0,5.0,7.0,Alb,Diesel,2199.0,197.0,Automata,4x4 (automat),Euro 6,13990.0
Volvo,XC 40,2020.0,SUV,137500.0,5.0,5.0,Alte culori,Diesel,1969.0,150.0,Automata,4x4 (automat),Euro 6,22200.0
Volkswagen,Tiguan,2019.0,SUV,126000.0,5.0,5.0,Gri,Diesel,1968.0,190.0,Automata,4x4 (automat),Euro 6,18400.0
BMW,X3,2019.0,SUV,182507.0,5.0,5.0,Gri,Benzina,1998.0,184.0,Automata,4x4 (automat),Euro 6,24190.01
Skoda,Kodiaq,2020.0,SUV,160000.0,5.0,5.0,Albastru,Diesel,1968.0,200.0,Automata,4x4 (automat),Euro 6d,29282.0
Volvo,XC 60,2015.0,SUV,245475.0,5.0,5.0,Albastru,Diesel,1969.0,181.0,Automata,Fata,Euro 6,13500.0
Volvo,XC 60,2019.0,SUV,258750.0,5.0,5.0,Gri,Diesel,1969.0,190.0,Automata,Fata,Euro 6,23997.93
Volkswagen,Golf,2011.0,Masina mica,181659.0,5.0,5.0,Albastru,Benzina,1390.0,122.0,Manuala,Fata,Euro 5,6499.0
Porsche,Cayenne Coupe,2019.0,SUV,207000.0,5.0,5.0,Alb,Benzina,2995.0,340.0,Automata,4x4 (automat),Euro 6,41500.0
Volkswagen,Golf,2020.0,Masina mica,72000.0,5.0,5.0,Alb,Benzina,1498.0,150.0,Automata,Fata,Euro 6,18899.99
