make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,url
Mercedes-Benz,C,2016,Sedan,220 000 km,4,5,Argint,Diesel,1 598 cm3,136 CP,Manuala,Spate,Euro 6,13950,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-ver-200-d-ID7HI7Zb.html
Volvo,XC 60,2024,SUV,47 000 km,5,5,Albastru,Hibrid Plug-In,1 969 cm3,398 CP,Automata,4x4 (manual),,45000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-t6-awd-recharge-plus-dark-ID7HNxaZ.html
Land Rover,Range Rover Evoque,2020,SUV,153 633 km,5,5,Negru,Benzina,1 997 cm3,200 CP,Automata,4x4 (automat),,23990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/land-rover-range-rover-evoque-ver-2-0-p200-ID7HMq6J.html
Dacia,Logan,2020,Sedan,36 823 km,5,5,Alb,Diesel,1 461 cm3,95 CP,Manuala,,,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/dacia-logan-ID7HNx5t.html
Ford,C-Max,2011,Monovolum,223 000 km,5,,Argint,Diesel,1 560 cm3,115 CP,Manuala,Fata,,3350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/ford-c-max-ver-1-6-tdci-trend-ID7HNx8Q.html
Volkswagen,Golf,2006,Masina mica,271 347 km,5,5,Argint,Diesel,1 896 cm3,110 CP,Manuala,,,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7HNx5M.html
BMW,Seria 7,2020,Sedan,170 000 km,4,5,Alb,Diesel,2 993 cm3,265 CP,Automata,4x4 (automat),Euro 6,46900,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/bmw-seria-7-ver-730d-xdrive-ID7HNx7R.html
Mini,ONE,2009,Coupe,263 252 km,3,4,Gri,Benzina + GPL,1 598 cm3,75 CP,Manuala,Fata,,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/mini-one-ID7HNx6b.html
Audi,A5,2016,Sedan,178 568 km,5,5,Alb,Diesel,1 968 cm3,150 CP,Automata,Fata,Euro 6,14450,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/audi-a5-ver-ack-2-0-tdi-s-tronic-sport-ID7HNx7e.html
Polestar,2,2021,Sedan,195 000 km,5,,Gri,Electric,,408 CP,Automata,4x4 (manual),,20950,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/polestar-2-ID7HMqdX.html
Volvo,XC 60,2021,SUV,109 616 km,5,5,Alb,Hibrid Plug-In,1 969 cm3,390 CP,Automata,4x4 (automat),Euro 6b,38720,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-recharge-t8-twin-engine-eawd-inscription-ID7HLnKD.html
Volkswagen,ID.3,2020,Compacta,74 495 km,5,,Albastru,Electric,,204 CP,Automata,Spate,,22990,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/volkswagen-id3-ver-58-kwh-pro-performance-ID7HIiOD.html
Ford,Focus,2019,Combi,167 000 km,5,,Rosu,Diesel,1 499 cm3,120 CP,Manuala,Fata,,8990,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/ford-focus-ver-1-5-ecoblue-start-stopp-system-titanium-ID7HJ6xN.html
Ford,Ranger,2020,SUV,87 000 km,4,,Negru,Diesel,3 198 cm3,200 CP,Automata,4x4 (automat),,23900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/ford-ranger-ver-3-2-duratorq-200-cp-4x4-cabina-dubla-wildtrack-aut-ID7HHIHL.html
Audi,A3,2022,Sedan,54 186 km,4,5,Negru,Benzina,1 498 cm3,149 CP,Automata,,,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/audi-a3-ID7HNx0U.html
BMW,Seria 2,2016,Monovolum,240 000 km,5,7,Albastru,Diesel,1 496 cm3,116 CP,Automata,Fata,Euro 6,9999,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/bmw-seria-2-ver-216d-aut-advantage-ID7HNx1Q.html
